topic_id,category_top1,topic_desc
215,Immunology and Microbiology,"Tópico 215. Palabras clave: arsenic, exiguobacterium, sh31, acr3, huasco, strains, sh, isolated, resistance, heterobactin"
216,Neuroscience,"Tópico 216. Palabras clave: dopamine, striatum, rats, dopaminergic, amphetamine, sensitization, dopa, d5r, mao, dls"
217,Chemistry,"Tópico 217. Palabras clave: tbo, cucurbit, singlet, uril, demethylation, toluidine, oxygen, photosensitizer, phototoxicity, photodynamic"
218,Agricultural and Biological Sciences,"Tópico 218. Palabras clave: wood, eucalyptus, modification, nitens, thermally, humboldtii, radiata, plantation, alpina, crystallinity"
219,Neuroscience,"Tópico 219. Palabras clave: svct2, vitamin, ascorbic, dha, neurons, aa, recycling, astrocytes, neuronal, acid"
220,Medicine,"Tópico 220. Palabras clave: oct, retinal, angiography, octa, macular, coherence, tomography, choroidal, eyes, fundus"
221,Physics and Astronomy,"Tópico 221. Palabras clave: galaxy, halo, galaxies, bias, haloes, assembly, clustering, cosmology, hod, subhalo"
222,Social Sciences,"Tópico 222. Palabras clave: journalism, journalists, news, journalistic, audience, ai, media, newsrooms, digital, metrics"
223,Dentistry,"Tópico 223. Palabras clave: endoscopic, surgery, nasal, endonasal, flap, skull, septal, surgical, base, rhinoplasty"
224,Agricultural and Biological Sciences,"Tópico 224. Palabras clave: foliar, grape, amino, grapevines, tempranillo, wine, volatile, mej, nitrogen, grapes"
225,Mathematics,"Tópico 225. Palabras clave: skyrme, gauged, solitons, dimensional, topological, analytic, field, configurations, chiral, equations"
226,Engineering,"Tópico 226. Palabras clave: turbine, wind, blade, rotor, wake, cylinder, vortex, lift, gust, fatigue"
227,Immunology and Microbiology,"Tópico 227. Palabras clave: cysts, granulosus, echinococcus, fertile, cyst, cattle, protoscoleces, adventitial, hepatica, ce"
228,Computer Science,"Tópico 228. Palabras clave: food, recognition, deep, label, uncertainty, segmentation, learning, noisy, multi, semantic"
229,Computer Science,"Tópico 229. Palabras clave: language, languages, linguistic, wording, words, endangerment, speakers, grammatical, semantic, verb"
230,Pharmacology,"Tópico 230. Palabras clave: nachr, α4β2, nachrs, nicotinic, α7, acetylcholine, binding, sert, receptors, agonist"
231,Psychology,"Tópico 231. Palabras clave: family, satisfaction, parents, fathers, conflict, earner, partner, dual, work, life"
232,Medicine,"Tópico 232. Palabras clave: aging, ageing, age, clocks, drug, tpe, alk, risk, combinations, epigenetic"
233,Chemical Engineering,"Tópico 233. Palabras clave: carbon, planar, tetracoordinate, aromatic, minima, ptc, clusters, hypercoordinate, surfactants, carbons"
234,Medicine,"Tópico 234. Palabras clave: covid, 19, outbreak, pandemic, coronavirus, epidemiology, hhtis, asymptomatic, plastic, epidemiological"
235,Energy,"Tópico 235. Palabras clave: microgrid, ems, microgrids, management, protection, system, energy, power, operation, isolated"
236,Energy,"Tópico 236. Palabras clave: power, planning, renewable, generation, system, energy, investment, constraints, expansion, flexibility"
237,Chemistry,"Tópico 237. Palabras clave: probes, fluorescent, fluorescence, photophysical, cu2, tict, coumarin, excited, dft, cyah"
238,Agricultural and Biological Sciences,"Tópico 238. Palabras clave: galls, gall, stems, dasineura, galling, galled, host, boldus, nutritive, plant"
239,Neuroscience,"Tópico 239. Palabras clave: parkinson, pd, igf2, dopaminergic, disease, motor, pa, synuclein, huntington, syn"
240,Physics and Astronomy,"Tópico 240. Palabras clave: chern, simons, algebra, dimensional, gauge, gravity, invariant, theories, relativistic, poincaré"
241,Pharmacology,"Tópico 241. Palabras clave: cinerea, botrytis, antifungal, broccoli, myrosinase, geranylated, compounds, glucosinolates, activity, hydrated"
242,Social Sciences,"Tópico 242. Palabras clave: leadership, international, sociocultural, civic, principals, school, adaptation, metasynthesis, educational, citizenship"
243,Materials Science,"Tópico 243. Palabras clave: gold, sers, nanoparticles, ferritin, cruciform, colloid, mba, silver, raman, nanoclusters"
244,Agricultural and Biological Sciences,"Tópico 244. Palabras clave: breeding, reproductive, sex, thorn, dimorphic, bsr, nestlings, rayadito, parental, females"
245,Health Professions,"Tópico 245. Palabras clave: lung, copd, pulmonary, ecc, respiratory, alveolar, patients, regional, strain, mip"
246,Dentistry,"Tópico 246. Palabras clave: honey, healing, wound, ulmoplus, ulmo, wounds, burn, burns, cavia, porcellus"
247,Physics and Astronomy,"Tópico 247. Palabras clave: neutron, riken, decay, nishina, 70kr, isotopes, half, delayed, jπ, radioactivity"
248,Computer Science,"Tópico 248. Palabras clave: query, sparql, queries, rdf, graph, graphs, logics, provenance, engines, shacl"
249,Neuroscience,"Tópico 249. Palabras clave: scd, cognitive, decline, ad, dementia, alzheimer, cognitively, pread, impairment, subjects"
250,Earth and Planetary Sciences,"Tópico 250. Palabras clave: fire, araucaria, land, vegetation, fires, nothofagus, ka, forest, steppe, avocado"
251,Chemical Engineering,"Tópico 251. Palabras clave: ethylene, nickel, catalysts, catalyst, complexes, polymerization, reaction, c6f5, catalytic, methallyl"
252,Nursing,"Tópico 252. Palabras clave: enteral, nutrition, hospital, stay, patients, care, ill, adverse, emergency, drug"
253,Immunology and Microbiology,"Tópico 253. Palabras clave: pneumoniae, klebsiella, kp35, carbapenem, kp, st258, crkp, isolates, neutrophils, carbapenemase"
254,Computer Science,"Tópico 254. Palabras clave: microservices, architectural, microservice, tactics, security, frameworks, patterns, scalability, architecture, systems"
255,Computer Science,"Tópico 255. Palabras clave: mining, healthcare, process, emergency, processes, care, medical, er, patient, techniques"
256,Agricultural and Biological Sciences,"Tópico 256. Palabras clave: insecticidal, sup, insect, melanogaster, pest, insecticides, peramine, extracts, xylostella, anisopliae"
257,Pharmacology,"Tópico 257. Palabras clave: pharmacogenomics, pgx, pharmacogenetics, lac, cyp2b6, drug, cyp2d6, clinical, cyp2c19, cyp3a5"
258,Environmental Science,"Tópico 258. Palabras clave: urban, climate, comfort, city, heat, spaces, square, cities, planning, socioeconomic"
259,Economics,"Tópico 259. Palabras clave: recycling, waste, municipal, municipalities, collection, valorisation, mswm, market, metropolitan, adoption"
260,Social Sciences,"Tópico 260. Palabras clave: digital, ict, technology, competences, technologies, learning, students, use, teachers, educational"
261,Physics and Astronomy,"Tópico 261. Palabras clave: beam, photoproduction, jefferson, photon, asymmetry, gluex, gev, clas, 1520, reaction"
262,Energy,"Tópico 262. Palabras clave: microgrids, microgrid, rural, energy, som, renewable, load, electricity, isolated, ecuador"
263,Chemistry,"Tópico 263. Palabras clave: lr, mc, mins, imprinted, molecularly, mina, nmol, detection, assay, microcystins"
264,Environmental Science,"Tópico 264. Palabras clave: antarctic, subtidal, pits, ice, macrobenthic, intertidal, fildes, glacier, variation, richness"
265,Computer Science,"Tópico 265. Palabras clave: gradual, typing, parametricity, sealing, noninterference, security, language, declassification, types, privacy"
266,Medicine,"Tópico 266. Palabras clave: variants, flg, lcat, polymorphism, patients, ad, rs693, cohort, genotype, decipherd"
267,Medicine,"Tópico 267. Palabras clave: diabetes, t1d, aya, retinopathy, diabetic, pwt1d, care, young, contraception, screening"
268,Agricultural and Biological Sciences,"Tópico 268. Palabras clave: cocoa, cacao, soil, crop, fertilization, theobroma, yield, nitrogen, grain, ccn"
269,Veterinary,"Tópico 269. Palabras clave: sperm, storage, spermatozoa, semen, motility, spermatocytes, fish, undiluted, blenny, membrane"
270,Social Sciences,"Tópico 270. Palabras clave: portugal, patronage, parties, party, portuguese, youth, government, political, intermunicipal, governance"
271,Earth and Planetary Sciences,"Tópico 271. Palabras clave: fault, faults, slip, zone, crustal, strike, oblique, arc, deformation, hydrothermal"
272,Chemistry,"Tópico 272. Palabras clave: pamam, dendrimers, pcl, dendrimer, interfacial, toluene, drug, peg, aggregates, interfaces"
273,Materials Science,"Tópico 273. Palabras clave: silica, drug, release, delivery, skin, nanoparticles, nanocarriers, nanocarrier, nc, npsi"
274,Materials Science,"Tópico 274. Palabras clave: ferroelectric, fefet, fe, switching, transistor, steep, hzo, capacitance, spiking, polarization"
275,Biochemistry,"Tópico 275. Palabras clave: angiotensin, hypertrophy, gdf11, mitochondrial, cardiomyocyte, ang, hypertrophic, ace2, ne, cardiac"
276,Mathematics,"Tópico 276. Palabras clave: problem, restricted, orbits, hamiltonian, body, equilibria, stability, primaries, kam, tori"
277,Physics and Astronomy,"Tópico 277. Palabras clave: cmb, foreground, core, cosmic, cmbr, sky, primordial, mission, lensing, polarization"
278,Physics and Astronomy,"Tópico 278. Palabras clave: dijet, tev, pp, forward, atlas, detector, collisions, electroweak, proton, jets"
279,Decision Sciences,"Tópico 279. Palabras clave: salesman, traveling, routing, instances, problem, vehicle, algorithm, tour, customers, customer"
280,Biochemistry,"Tópico 280. Palabras clave: muscle, mitochondrial, skeletal, atp, ip3r, mdx, fibers, panx1, dca, mitophagy"
281,Earth and Planetary Sciences,"Tópico 281. Palabras clave: sst, submesoscale, sea, upwelling, ocean, cfb, wind, mhws, tfb, stratocumulus"
282,Immunology and Microbiology,"Tópico 282. Palabras clave: abortus, brucella, brucellosis, 2308, vaccine, znmp, vaccines, macrophages, virulence, bab1_0270"
283,Materials Science,"Tópico 283. Palabras clave: blends, pema, glycerol, pgsma, cnc, pla, poly, polyelectrolytes, peo, aa"
284,Pharmacology,"Tópico 284. Palabras clave: coumestrol, tpp, mao, antioxidant, coumarin, antiproliferative, compounds, esters, betulinic, triterpenic"
285,Immunology and Microbiology,"Tópico 285. Palabras clave: aeruginosa, bacteriophages, plasmid, elastase, pseudomonas, isolates, phages, plasmids, amr, st654"
286,Neuroscience,"Tópico 286. Palabras clave: preeclampsia, brain, perfusion, sevs, rupp, offspring, spondin, pe, sco, blood"
287,Nursing,"Tópico 287. Palabras clave: guidelines, checklist, clinical, software, app, telehealth, reporting, health, medicare, adapted"
288,Medicine,"Tópico 288. Palabras clave: sars, cov, rbd, tuberculosis, neutralizing, igg, hiv, covid, variant, 19"
289,Chemical Engineering,"Tópico 289. Palabras clave: microalgae, wastewater, biogas, filtration, productivity, dilution, ultrafiltration, cov, sars, microbiome"
290,Computer Science,"Tópico 290. Palabras clave: scheduling, machines, conference, lp, jobs, problem, job, petri, setup, integrality"
291,Neuroscience,"Tópico 291. Palabras clave: tau, amyloid, ad, filaments, alzheimer, asymad, seeding, caa, pathology, brains"
292,Decision Sciences,"Tópico 292. Palabras clave: fire, wildfire, wildland, ignition, wildfires, fires, wui, burned, firebreaks, soil"
293,Psychology,"Tópico 293. Palabras clave: academic, psychological, capital, psycap, sisco, students, stress, performance, bdnf, coping"
294,Physics and Astronomy,"Tópico 294. Palabras clave: jet, jets, proton, calibration, pt, energy, transverse, atlas, detector, calorimeter"
295,Computer Science,"Tópico 295. Palabras clave: multicore, drl, fiber, optical, reinforcement, networks, elastic, mcf, allocation, deep"
296,Pharmacology,"Tópico 296. Palabras clave: hsv, tax, ham, tsp, 4d, herpes, simplex, virus, neuronal, htlv"
297,Physics and Astronomy,"Tópico 297. Palabras clave: occultation, occultations, km, objects, albedo, rings, chariklo, stellar, object, neptunian"
298,Environmental Science,"Tópico 298. Palabras clave: phosphorus, soil, efficiency, fertilizers, ryegrass, bapf, lmwoas, plant, phytase, organic"
299,Environmental Science,"Tópico 299. Palabras clave: copepods, upwelling, copepod, diversity, pacific, humboldt, krill, species, ocean, patterns"
300,Physics and Astronomy,"Tópico 300. Palabras clave: quark, top, changing, decays, flavour, neutral, fcnc, branching, search, limits"
301,Computer Science,"Tópico 301. Palabras clave: network, dimensioning, wavelength, wireless, user, qos, routing, networks, wdm, mimo"
302,Social Sciences,"Tópico 302. Palabras clave: tax, law, bankruptcy, trademark, retroactivity, de, derecho, la, civil, el"
303,Chemical Engineering,"Tópico 303. Palabras clave: fly, ash, mesoporous, adsorption, functionalized, adsorbent, silica, sulfate, mms, coal"
304,Physics and Astronomy,"Tópico 304. Palabras clave: stars, winds, wind, stellar, loss, massive, hydrodynamic, line, mass, slow"
305,Pharmacology,"Tópico 305. Palabras clave: asnase, venom, loxosceles, asparaginase, loxoscelism, glycosylated, sicarius, laeta, sera, glycosylation"
306,Agricultural and Biological Sciences,"Tópico 306. Palabras clave: crop, fao, yield, ndvi, irrigation, etc, rn, blueberry, evapotranspiration, drip"
307,Physics and Astronomy,"Tópico 307. Palabras clave: heavy, majorana, neutrinos, neutrino, handed, search, right, tev, muon, lepton"
308,Energy,"Tópico 308. Palabras clave: carbonization, htc, waste, hydrothermal, hydrochar, gasification, solid, msw, usw, biomass"
309,Agricultural and Biological Sciences,"Tópico 309. Palabras clave: paralarvae, octopus, megalocyathus, enteroctopus, cannibalism, artemia, dah, patagonian, fed, paralarval"
310,Economics,"Tópico 310. Palabras clave: blockchain, tokens, decentralized, cryptoassets, security, finance, assets, fraud, financial, stablecoins"
311,Energy,"Tópico 311. Palabras clave: dc, converter, power, pv, partial, ppc, photovoltaic, stage, inverter, conversion"
312,Immunology and Microbiology,"Tópico 312. Palabras clave: streptomyces, strain, actinobacteria, antarctic, bacteria, igneacidithiobacillus, keratinases, acidithiobacillus, bioleaching, strains"
313,Economics,"Tópico 313. Palabras clave: energy, electricity, poverty, tax, geothermal, renewable, tco2e, policy, policies, sector"
314,Mathematics,"Tópico 314. Palabras clave: bell, causal, realism, instrumental, quantum, choices, test, nonclassicality, unpredictable, local"
315,Business,"Tópico 315. Palabras clave: cyclists, bus, conflicts, drivers, cycling, bicycle, road, bike, bicycles, transport"
316,Agricultural and Biological Sciences,"Tópico 316. Palabras clave: maclovinus, ration, metabolism, eleginops, psu, rations, salinities, salinity, osmoregulatory, liver"
317,Chemical Engineering,"Tópico 317. Palabras clave: reaction, reactions, electronic, polanyi, synchronicity, evans, dmis, dipolar, principle, polarizability"
318,Materials Science,"Tópico 318. Palabras clave: bose, hydrostatic, impurity, wires, pressure, quantum, electric, gaas, donor, renormalization"
319,Chemistry,"Tópico 319. Palabras clave: pickering, emulsions, spray, fo, lupin, emulsifying, bioactive, drying, agri, byproducts"
320,Medicine,"Tópico 320. Palabras clave: htx, offspring, mis, inborn, iei, immune, gestated, ucld, immunity, nk"
321,Biochemistry,"Tópico 321. Palabras clave: steroid, ovarian, ovary, follicular, hormone, ufc, e4, follicles, 24h, hormones"
